Name,Status,Area,Priority,Assignee,Due,Tags,Description,FilePath,SubtaskOf,Estimate
"Epic: Autenticación y Perfil","To Do","Auth","High",,,"auth,keycloak,roles","Integrar Keycloak para login/registro, roles (owner, staff, customer) y perfil","/docs/auth.md",,"5d"
"Crear realm y clientes en Keycloak","To Do","Auth","High",,,"keycloak,setup","Realm arami, client shop-web (PKCE), shop-api (confidential)","/infra/docker-compose.yml","Epic: Autenticación y Perfil","6h"
"Login/registro con Keycloak en shop-web","To Do","Frontend","High",,,"next,oidc,next-auth","Configurar next-auth con provider OIDC de Keycloak (PKCE), sesión y cierre de sesión","/apps/shop-web", "Epic: Autenticación y Perfil","12h"
"Roles en UI (owner/staff/customer)","To Do","Frontend","High",,,"rbac,ui","Mostrar/ocultar Admin según rol; badge de rol opcional","/apps/shop-web","Epic: Autenticación y Perfil","6h"
"Proteger rutas admin (middleware)","To Do","Frontend","High",,,"guard","middleware.ts que redirige si no hay rol requerido","/apps/shop-web","Epic: Autenticación y Perfil","6h"
"Backend como Resource Server","To Do","Backend","High",,,"spring,oauth2","Configurar spring-boot-starter-oauth2-resource-server y validación de JWT","/services/svc-customer","Epic: Autenticación y Perfil","10h"
"Login social Google en Keycloak","To Do","Auth","Medium",,,"google,broker","Configurar IdP Google con ClientID/Secret y mappers","/docs/auth.md","Epic: Autenticación y Perfil","6h"

"Epic: Catálogo de Productos","To Do","Catalog","High",,,"catalog,db,api","Servicio de catálogo con productos, categorías, variantes y media (MinIO)","/services/svc-catalog",,"8d"
"Svc-catalog (Spring Boot + JPA)","To Do","Backend","High",,,"spring,jpa","Proyecto nuevo con entidades Product, Category, Variant, Image","/services/svc-catalog","Epic: Catálogo de Productos","16h"
"Flyway migrations catálogo","To Do","Backend","High",,,"flyway,db","Esquema inicial y seeds","/services/svc-catalog/src/main/resources/db/migration","Epic: Catálogo de Productos","8h"
"Carga media a MinIO","To Do","Backend","Medium",,,"minio,s3","Subida de imágenes (signed URLs) y vinculación en DB","/services/svc-catalog","Epic: Catálogo de Productos","12h"
"API Catálogo (REST)","To Do","Backend","High",,,"api","Endpoints: list/search, get product, categories, admin CRUD","/services/svc-catalog","Epic: Catálogo de Productos","14h"
"UI listado + filtros","To Do","Frontend","High",,,"ui,filters","Listar productos, filtro por categoría, orden y rango de precio","/apps/shop-web","Epic: Catálogo de Productos","12h"
"UI detalle de producto","To Do","Frontend","High",,,"ui,product","Galería, precio, rating, variantes (talla/color)","/apps/shop-web","Epic: Catálogo de Productos","10h"

"Epic: Carrito y Checkout","To Do","Checkout","High",,,"cart,checkout","Carrito persistente y flujo de compra","/apps/shop-web",,"7d"
"Carrito (frontend)","To Do","Frontend","High",,,"cart","Añadir/quitar, qty, persistencia local y sync post-login","/apps/shop-web","Epic: Carrito y Checkout","10h"
"Servicio de órdenes","To Do","Backend","High",,,"orders","Crear svc-order con entidades Order, OrderItem, estados","/services/svc-order","Epic: Carrito y Checkout","16h"
"API checkout","To Do","Backend","High",,,"api","Crear orden, calcular totales, validar stock","/services/svc-order","Epic: Carrito y Checkout","12h"
"Integración de pagos (Stripe/Mercado Pago)","To Do","Payments","High",,,"payments","Intent de pago, webhook de confirmación","/services/svc-order","Epic: Carrito y Checkout","16h"
